State,Capital_city,Confirmed,Recovered,Deaths
State,Capital_city,Confirmed,Recovered,Deaths
Global,Washington,145662152,83796586,3086709
State,Capital_city,Confirmed,Recovered,Deaths
Global,Washington,145662152,83796586,3086709
State,Capital_city,Confirmed,Recovered,Deaths
Afghanistan,Kabul,58542,52363,2565
State,Capital_city,Confirmed,Recovered,Deaths
Albania,Tirana,130270,104278,2367
State,Capital_city,Confirmed,Recovered,Deaths
Algeria,Alger,120562,84038,3190
State,Capital_city,Confirmed,Recovered,Deaths
Andorra,Andorra la Vella,13007,12423,123
State,Capital_city,Confirmed,Recovered,Deaths
Angola,Luanda,25279,23089,574
State,Capital_city,Confirmed,Recovered,Deaths
Antigua and Barbuda,Saint John's,1222,995,31
State,Capital_city,Confirmed,Recovered,Deaths
Argentina,Buenos Aires,2824652,2474514,61176
State,Capital_city,Confirmed,Recovered,Deaths
Armenia,Yerevan,212114,192281,3984
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Yerevan,982,945,9
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,29653,23191,910
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,5419,0,54
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,159,111,0
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,1525,1454,7
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,123,120,3
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,703,675,4
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,234,221,13
State,Capital_city,Confirmed,Recovered,Deaths
Australia,Canberra,20508,19665,820
State,Capital_city,Confirmed,Recovered,Deaths
Austria,Wien,604823,568213,10055
State,Capital_city,Confirmed,Recovered,Deaths
Azerbaijan,Baku,309789,274766,4307
State,Capital_city,Confirmed,Recovered,Deaths
Bahamas,Nassau,9976,9215,196
State,Capital_city,Confirmed,Recovered,Deaths
Bahrain,al-Manama,169254,158133,617
State,Capital_city,Confirmed,Recovered,Deaths
Bangladesh,Dhaka,739703,647674,10869
State,Capital_city,Confirmed,Recovered,Deaths
Barbados,Bridgetown,3820,3718,44
State,Capital_city,Confirmed,Recovered,Deaths
Belarus,Minsk,350221,340660,2473
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,52399,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,28349,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,18287,0,23954
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,119935,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,111290,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,73931,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,119349,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,53730,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,37068,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Minsk,87233,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Bruxelles [Brussel],968107,0,23954
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Bruxelles [Brussel],123386,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belgium,Bruxelles [Brussel],143150,0,0
State,Capital_city,Confirmed,Recovered,Deaths
Belize,Belmopan,12599,12168,321
State,Capital_city,Confirmed,Recovered,Deaths
Benin,Porto-Novo,7720,7510,97
State,Capital_city,Confirmed,Recovered,Deaths
Bhutan,Thimphu,1008,926,1
State,Capital_city,Confirmed,Recovered,Deaths
Bolivia,La Paz,295892,244079,12783
State,Capital_city,Confirmed,Recovered,Deaths
Bosnia and Herzegovina,Sarajevo,194733,153408,8203
State,Capital_city,Confirmed,Recovered,Deaths
Botswana,Gaborone,45855,41338,691
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,371719,353241,7494
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,261350,234573,7063
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,241673,224726,5422
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,208292,190718,4999
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,868607,833192,13014
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,155939,137045,2440
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,104109,76149,1502
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,942712,905523,23975
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,94769,89008,1472
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,195191,176222,4088
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,877484,843954,17804
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,536340,511674,14343
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,1307937,1198780,31494
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Gaborone,233228,227049,4886
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,14237078,12586272,386416
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,169265,161436,4074
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,366798,311360,12494
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,923580,661922,21199
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,425549,398099,9079
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,349426,330093,9273
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,285323,195659,6607
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,720749,669491,42634
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,76376,63119,1465
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,641230,440233,16790
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,460306,431220,12354
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,391740,330763,13524
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,215824,150649,5254
State,Capital_city,Confirmed,Recovered,Deaths
Brazil,Brasília,2811562,2440374,91673
State,Capital_city,Confirmed,Recovered,Deaths
Brunei,Bandar Seri Begawan,223,210,3
State,Capital_city,Confirmed,Recovered,Deaths
Bulgaria,Sofia,396302,323877,15826
State,Capital_city,Confirmed,Recovered,Deaths
Burkina Faso,Ouagadougou,13231,12887,156
State,Capital_city,Confirmed,Recovered,Deaths
Burma,Ouagadougou,142687,131921,3206
State,Capital_city,Confirmed,Recovered,Deaths
Burundi,Bujumbura,3759,773,6
State,Capital_city,Confirmed,Recovered,Deaths
Cabo Verde,Bujumbura,21784,18959,201
State,Capital_city,Confirmed,Recovered,Deaths
Cambodia,Phnom Penh,8848,3148,61
State,Capital_city,Confirmed,Recovered,Deaths
Cameroon,Yaound,65998,35261,991
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,80,77,1
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,175,164,0
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,13,13,0
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,54,49,0
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,441,400,4
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,445407,400089,7849
State,Capital_city,Confirmed,Recovered,Deaths
Canada,Yaound,342688,320302,10860
